SampleID	OTUid	TaxMethod	AlignScore	BOLDid	kingdom_name	phylum_name	class_name	order_name	family_name	genus_name	species_name	CountReads	BOLDalt	DateSampled	BirdSpecies
OahuBird.324	OTU270_suspect_mock_chimera	GS	100	BOLD:AAD3061.1	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Apamea	Apamea plutonia	133	BOLD:AAD3061		RBLE
OahuBird.324	OTU273_suspect_mock_chimera	US	0.9859	BOLD:ACW3302.1	Animalia	Arthropoda	Insecta	Hymenoptera	NA	NA	NA	266	BOLD:ACW3302		RBLE
OahuBird.324	OTU276_suspect_mock_chimera	GS	100	BOLD:AAN5877.1	Animalia	Arthropoda	Insecta	Diptera	Limoniidae	Metalimnobia	Metalimnobia immatura	239	BOLD:AAN5877		RBLE
OahuBird.324	OTU288_suspect_mock_chimera	GS	100	BOLD:AAA3659.1	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Pandemis	Pandemis limitata	89	BOLD:AAA3659		RBLE
OahuBird.324	OTU312_suspect_mock_chimera	GS	100	BOLD:AAC2533.1	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Olethreutes	Olethreutes fasciatana	247	BOLD:AAC2533		RBLE
OahuBird.324	OTU316_suspect_mock_chimera	GS	98.9	BOLD:ACD9137.1	Animalia	Arthropoda	Insecta	Hemiptera	Delphacidae	Megamelus	Megamelus inflatus	154	BOLD:ACD9137		RBLE
OahuBird.324	OTU350_suspect_mock_chimera	GS	100	BOLD:AAV1814.3	Animalia	Arthropoda	Insecta	Diptera	Pediciidae	Ula	Ula sylvatica	83	BOLD:AAV1814		RBLE
OahuBird.324	OTU363_suspect_mock_chimera	GS	100	BOLD:AAR7014.1	Animalia	Arthropoda	Insecta	Lepidoptera	Gracillariidae	Neurobathra	Neurobathra strigifinitella	95	BOLD:AAR7014		RBLE
OahuBird.324	OTU377_suspect_mock_chimera	GS	99.4	BOLD:AAA5486.1	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Eucosma	Eucosma ochroterminana	57	BOLD:AAA5486		RBLE
OahuBird.324	OTU387_suspect_mock_chimera	GS	100	BOLD:ABW2812.1	Animalia	Arthropoda	Insecta	Coleoptera	Elateridae	Ampedus	Ampedus melanotoides	142	BOLD:ABW2812		RBLE
