SampleID,OTUid,OTU_identifier,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,species_name,Site,Date,BatTagID,BatSpecies,Sex
nau.7034,OTU467,BOLD:AAH0409,Animalia,Arthropoda,Insecta,Coleoptera,unknown,unknown,unknown,SARDINA,6/1/16,37,NOAL,F
nau.7034,OTU65,BOLD:AAM6232,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Coelotanypus,unknown,SARDINA,6/1/16,37,NOAL,F
nau.7034,OTU234,BOLD:AAO7946,Animalia,Arthropoda,Insecta,Orthoptera,unknown,unknown,unknown,SARDINA,6/1/16,37,NOAL,F
nau.7034,OTU130,BOLD:ACB8679,Animalia,Arthropoda,Insecta,Isoptera,unknown,unknown,unknown,SARDINA,6/1/16,37,NOAL,F
nau.7034,OTU352,BOLD:ACJ1661,Animalia,Arthropoda,Insecta,Lepidoptera,unknown,unknown,unknown,SARDINA,6/1/16,37,NOAL,F
nau.7035,OTU123,BOLD:AAF1735,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex nigripalpus,ESCAMAQUITA,6/2/16,1,RHBI,F
nau.7035,OTU180,BOLD:AAJ1744,Animalia,Arthropoda,Insecta,Lepidoptera,unknown,unknown,unknown,ESCAMAQUITA,6/2/16,1,RHBI,F
nau.7038,OTU104,BOLD:AAA4032,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,unknown,unknown,ESCAMAQUITA,6/2/16,10,PTPA,M
nau.7038,OTU3,BOLD:AAA4727,Animalia,Arthropoda,Insecta,Lepidoptera,Euteliidae,Eutelia,Eutelia furcata,ESCAMAQUITA,6/2/16,10,PTPA,M
nau.7038,OTU4,BOLD:AAB0279,Animalia,Arthropoda,Insecta,Lepidoptera,Tineidae,unknown,unknown,ESCAMAQUITA,6/2/16,10,PTPA,M
nau.7038,OTU113,BOLD:ACE4783,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Spodoptera,unknown,ESCAMAQUITA,6/2/16,10,PTPA,M
nau.7038,OTU153,BOLD:ACO9676,Animalia,Arthropoda,Insecta,Blattodea,unknown,unknown,unknown,ESCAMAQUITA,6/2/16,10,PTPA,M
nau.7039,OTU4,BOLD:AAB0279,Animalia,Arthropoda,Insecta,Lepidoptera,Tineidae,unknown,unknown,ESCAMAQUITA,6/2/16,11,PTPA,M
nau.7039,OTU27,BOLD:AAB1169,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Eumorpha,Eumorpha vitis,ESCAMAQUITA,6/2/16,11,PTPA,M
nau.7039,OTU130,BOLD:ACB8679,Animalia,Arthropoda,Insecta,Isoptera,unknown,unknown,unknown,ESCAMAQUITA,6/2/16,11,PTPA,M
nau.7041,OTU128,BOLD:AAA3932,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Erinnyis,Erinnyis ello,ESCAMAQUITA,6/2/16,13,PTPA,M
nau.7041,OTU4,BOLD:AAB0279,Animalia,Arthropoda,Insecta,Lepidoptera,Tineidae,unknown,unknown,ESCAMAQUITA,6/2/16,13,PTPA,M
nau.7041,OTU228,BOLD:ACF5499,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Epidromia,Epidromia linearis,ESCAMAQUITA,6/2/16,13,PTPA,M
nau.7042,OTU62,BOLD:AAA1494,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Macaria,Macaria nundinata,ESCAMAQUITA,6/2/16,14,PTGY,F
nau.7042,OTU6,BOLD:AAA3313,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Coenipeta,Coenipeta bibitrix,ESCAMAQUITA,6/2/16,14,PTGY,F
nau.7042,OTU3,BOLD:AAA4727,Animalia,Arthropoda,Insecta,Lepidoptera,Euteliidae,Eutelia,Eutelia furcata,ESCAMAQUITA,6/2/16,14,PTGY,F
